gene,mean_recurrence,meth_vs_exp_R_mean,meth_vs_exp_maxPvalue,age_vs_exp_R,age_vs_exp_Pvalue
HSPA1L,0.078668433256045,-0.2840493637200454,4.7920870297686115e-151,-0.2815663440653189,2.1646628926330144e-11
SNX10,0.0785028155018217,-0.0508246242384459,0.0369494653924726,-0.1787357931390928,0.0052511240723818
EFNA1,0.076294578778845,-0.0892189051295913,2.0555183993427145e-05,-0.1707142149113998,0.0162754252351888
PRDM2,0.0761841669426962,-0.2524700241707462,3.35646621339264e-57,-0.2384526819645652,2.18183088139491e-07
MFSD1,0.075632107761952,-0.0876523594008344,5.4299157444276226e-11,-0.272368277688008,1.7852837553429894e-10
CDC42EP4,0.07535607817158,-0.204970020928328,8.146585593466362e-71,-0.1730950376994049,0.0116962962321031
EIF4EBP3,0.0747764160317986,-0.205835160725969,1.83324732386332e-60,-0.2540387509927835,9.466463377500276e-09
TMEM169,0.0745831953185381,-0.1455676475587925,2.9461901337681104e-11,-0.3656322825608545,1.8415989555976687e-21
PECR,0.0745831953185381,-0.1455676475587925,2.9461901337681104e-11,-0.3185739787536435,1.9527130327626737e-15
RPL26L1,0.0741967538920172,-0.0811987787039879,1.1732754467041758e-10,-0.2315489675754165,8.17720060443495e-07
MRPS36,0.0738655183835707,-0.0894825098058214,1.806181404968567e-13,-0.3123752309386997,1.0213107537066444e-14
SDHC,0.0715468698244451,-0.1272603575126371,9.679082454888049e-30,-0.3127850831485649,9.165807794316085e-15
FAM43A,0.0705531632991056,-0.1313159529867507,4.995599288650212e-21,-0.294574014359625,9.550006737525053e-13
CCDC112,0.0695594567737661,-0.208207628709422,2.1054329002394185e-84,-0.2765459579209978,6.915137211208775e-11
BSCL2,0.0687313680026498,-0.3846453479902754,4.16455459616022e-293,-0.2235807536734145,3.568610742867904e-06
EFHD2,0.0682345147399801,-0.0497176606419686,0.0210570290510815,-0.3214995829869145,8.823317608751626e-16
CSRP1,0.0679032792315336,-0.1905975026547278,3.959593337655141e-70,-0.1705328342920087,0.0166871911296619
ZNF844,0.0677928673953847,-0.4748057167661259,0.0,-0.2383275499813733,2.2355398295345346e-07
TBC1D16,0.0673070553163299,-0.0710957845443603,1.465479890679669e-06,-0.1634458150947155,0.0434007220786331
RGS2,0.0670199845423429,-0.0709453647306457,0.0088281718162556,-0.2679283090607949,4.805477234622312e-10
H6PD,0.0669095727061941,-0.0688429675768158,5.798882512752675e-07,-0.2969659934756399,5.285055429905694e-13
FAR1,0.0659158661808545,-0.6368362000754973,0.0,-0.2249033288145013,2.80501634052846e-06
WDSUB1,0.0659158661808545,-0.0844268391830796,1.0102996823728489e-11,-0.1719919525778654,0.0136386431373356
ECE1,0.064922159655515,-0.0494990464190366,0.0232457471594697,-0.2470738019674365,3.9511551166665123e-08
FZD2,0.0645909241470685,-0.157582256586445,5.467838126740533e-47,-0.1823623580889391,0.0030958937080189
SLC16A5,0.0645909241470685,-0.6462159459276702,0.0,-0.3309903635701868,6.310754916599594e-17
GGH,0.0637628353759523,-0.1268577254923845,8.210901235839518e-22,-0.1981169539322191,0.0002754576446496
ITPKC,0.063597217621729,-0.0525320150511167,0.0054885959579169,-0.2238357918682217,3.4071125048486537e-06
ALDH9A1,0.0626035110963895,-0.0712522924329568,1.225041166208918e-07,-0.2128830958484396,2.368115061148546e-05
OGFRL1,0.0626035110963895,-0.2484126897409026,3.589090050074641e-122,-0.2199324452148712,6.879545824883523e-06
